1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
"(0.756764829158783, 0.3661597967147827, -0.2080526500940323)","(0.7587419748306274, 0.3613760471343994, -0.19406993687152863)","(0.7603352069854736, 0.3627990782260895, -0.1940794736146927)","(0.7619459629058838, 0.36412400007247925, -0.19408389925956726)","(0.7535755038261414, 0.35892149806022644, -0.20123709738254547)","(0.7515154480934143, 0.35875415802001953, -0.20126457512378693)","(0.7494848966598511, 0.35861754417419434, -0.20126575231552124)","(0.7617157101631165, 0.3729475140571594, -0.11036613583564758)","(0.7428027987480164, 0.3673439621925354, -0.14399512112140656)","(0.7593079209327698, 0.3804885149002075, -0.1764247864484787)","(0.7520255446434021, 0.3767026662826538, -0.18614870309829712)","(0.7725988626480103, 0.4476753771305084, -0.039942316710948944)","(0.7136267423629761, 0.44451653957366943, -0.1067892536520958)","(0.7760939598083496, 0.5265730023384094, 0.010539590381085873)","(0.7004255652427673, 0.531247079372406, -0.08941196650266647)","(0.8019528985023499, 0.5794332027435303, -0.053632933646440506)","(0.6959734559059143, 0.6093981862068176, -0.13127082586288452)","(0.806920051574707, 0.602283775806427, -0.06874758750200272)","(0.6918942928314209, 0.632492184638977, -0.1517605185508728)","(0.8066470623016357, 0.6028293967247009, -0.09632986038923264)","(0.6964899301528931, 0.6340470910072327, -0.17043186724185944)","(0.8045133352279663, 0.5949310660362244, -0.0673828274011612)","(0.6989870071411133, 0.6268622875213623, -0.1396256387233734)","(0.7625863552093506, 0.6000872254371643, 0.021394193172454834)","(0.7248311042785645, 0.5979100465774536, -0.02145073190331459)","(0.7822853922843933, 0.7159563899040222, 0.013117039576172829)","(0.7139109969139099, 0.7145370244979858, -0.01808079704642296)","(0.7908422350883484, 0.8319201469421387, 0.12062275409698486)","(0.6995605230331421, 0.8277973532676697, 0.1076466366648674)","(0.785606861114502, 0.8489700555801392, 0.12604674696922302)","(0.6972102522850037, 0.8400846123695374, 0.11475885659456253)","(0.8044163584709167, 0.8723220825195312, 0.03718801587820053)","(0.6997255682945251, 0.8649972677230835, 0.01934526488184929)"
"(0.75889652967453, 0.36667588353157043, -0.2559919059276581)","(0.7609628438949585, 0.3614947497844696, -0.24333883821964264)","(0.7627754807472229, 0.3629092872142792, -0.24333012104034424)","(0.764509379863739, 0.36423230171203613, -0.24333032965660095)","(0.755024254322052, 0.3591825067996979, -0.24806806445121765)","(0.7526409029960632, 0.35913902521133423, -0.2481192648410797)","(0.7502625584602356, 0.3591582477092743, -0.24814440310001373)","(0.7649357914924622, 0.3729829490184784, -0.1584271788597107)","(0.7446596622467041, 0.3676876723766327, -0.1820278763771057)","(0.7615962028503418, 0.3809445798397064, -0.22339865565299988)","(0.7539789080619812, 0.37779706716537476, -0.23029039800167084)","(0.7772477269172668, 0.4478471279144287, -0.08210741728544235)","(0.7167809009552002, 0.44456619024276733, -0.12448333948850632)","(0.7845027446746826, 0.5264885425567627, -0.02889392338693142)","(0.7038673758506775, 0.5304822325706482, -0.09580853581428528)","(0.8155909180641174, 0.5722349286079407, -0.09390155971050262)","(0.6974563598632812, 0.6084858179092407, -0.14658452570438385)","(0.8205384016036987, 0.5974684357643127, -0.10878968983888626)","(0.6934956312179565, 0.6320064067840576, -0.16492025554180145)","(0.819208025932312, 0.5958231091499329, -0.13740704953670502)","(0.6979243159294128, 0.6338750123977661, -0.18912631273269653)","(0.8173078894615173, 0.5859097838401794, -0.10717611759901047)","(0.7003330588340759, 0.6263254284858704, -0.15676207840442657)","(0.766030490398407, 0.5995328426361084, 0.016633719205856323)","(0.7284975647926331, 0.5967856645584106, -0.016750190407037735)","(0.7847566604614258, 0.7166936993598938, 0.007708600256592035)","(0.7168728709220886, 0.7150771617889404, -0.020424656569957733)","(0.7939348220825195, 0.8339484333992004, 0.11589573323726654)","(0.6999629139900208, 0.828787088394165, 0.09939394146203995)","(0.7904130220413208, 0.8503429889678955, 0.12079835683107376)","(0.6981908679008484, 0.8414716720581055, 0.10588680952787399)","(0.8051031231880188, 0.8732385039329529, 0.029934000223875046)","(0.6999392509460449, 0.8649991154670715, 0.011738157831132412)"
"(0.7635700106620789, 0.3666679263114929, -0.25776249170303345)","(0.7660359740257263, 0.36148691177368164, -0.24556712806224823)","(0.768136739730835, 0.36291325092315674, -0.24556612968444824)","(0.7700848579406738, 0.36426177620887756, -0.24556964635849)","(0.7593851685523987, 0.3591690957546234, -0.248121440410614)","(0.756769597530365, 0.35913926362991333, -0.24816738069057465)","(0.7540431618690491, 0.3591754138469696, -0.24818763136863708)","(0.7710875868797302, 0.3731686472892761, -0.1639293134212494)","(0.7494828701019287, 0.36784034967422485, -0.177669495344162)","(0.7665684819221497, 0.38094332814216614, -0.22684542834758759)","(0.7581464648246765, 0.3778715133666992, -0.23078636825084686)","(0.7857538461685181, 0.44833070039749146, -0.09432189166545868)","(0.7234739661216736, 0.44488525390625, -0.11945752799510956)","(0.7958647608757019, 0.5265213847160339, -0.05811774358153343)","(0.7096965312957764, 0.5302030444145203, -0.09164319187402725)","(0.8264666199684143, 0.5620774030685425, -0.1373344212770462)","(0.7018988132476807, 0.6059607863426208, -0.14250841736793518)","(0.8325626254081726, 0.5859516263008118, -0.154768168926239)","(0.6973826289176941, 0.630643904209137, -0.16177566349506378)","(0.8313197493553162, 0.581002414226532, -0.1836867481470108)","(0.7011443376541138, 0.632389485836029, -0.18345661461353302)","(0.8288738131523132, 0.5723553895950317, -0.15100951492786407)","(0.7034598588943481, 0.6243466734886169, -0.15187793970108032)","(0.7721747756004333, 0.5997870564460754, 0.012092482298612595)","(0.7350629568099976, 0.5961914658546448, -0.01221914030611515)","(0.7896630764007568, 0.7201048135757446, 0.0037808900233358145)","(0.7231318354606628, 0.7155991792678833, -0.016793452203273773)","(0.7969563007354736, 0.8376765847206116, 0.10329641401767731)","(0.7055649757385254, 0.8296943306922913, 0.09747980535030365)","(0.7932374477386475, 0.8535878658294678, 0.10696452856063843)","(0.705320417881012, 0.8434301614761353, 0.10297857969999313)","(0.8095141053199768, 0.8793724775314331, 0.014577931724488735)","(0.7010966539382935, 0.8662370443344116, 0.009902001358568668)"
"(0.7699233293533325, 0.36653149127960205, -0.2399546205997467)","(0.7722387313842773, 0.36037448048591614, -0.2269253134727478)","(0.7743937969207764, 0.36159747838974, -0.2269306778907776)","(0.7763522863388062, 0.3627427816390991, -0.2269328534603119)","(0.7654207348823547, 0.3585861325263977, -0.2327558398246765)","(0.7627342939376831, 0.35872334241867065, -0.23280151188373566)","(0.7599759697914124, 0.35891181230545044, -0.23281125724315643)","(0.7775639891624451, 0.3715682625770569, -0.14562709629535675)","(0.7554597854614258, 0.36770501732826233, -0.1601746678352356)","(0.7734012603759766, 0.3807872533798218, -0.2088547646999359)","(0.7646121382713318, 0.3779038190841675, -0.2166290283203125)","(0.7944172620773315, 0.44544318318367004, -0.08596865832805634)","(0.729968249797821, 0.44556912779808044, -0.09243705123662949)","(0.8030170202255249, 0.5195801258087158, -0.08099770545959473)","(0.7153568863868713, 0.5310260057449341, -0.0657007172703743)","(0.832288384437561, 0.5426117777824402, -0.1977015882730484)","(0.7054960131645203, 0.605948269367218, -0.12071474641561508)","(0.8389036059379578, 0.5604277849197388, -0.22181947529315948)","(0.7008011937141418, 0.6306434273719788, -0.13578109443187714)","(0.8375723361968994, 0.5546672940254211, -0.24944768846035004)","(0.703702986240387, 0.6323102712631226, -0.16146531701087952)","(0.8348196744918823, 0.5478774309158325, -0.2116599678993225)","(0.7059922218322754, 0.6241039037704468, -0.13150231540203094)","(0.7809423804283142, 0.6007629632949829, 0.006702922750264406)","(0.7434929013252258, 0.5965481400489807, -0.0067909699864685535)","(0.7966982126235962, 0.7227420806884766, -0.0019314568489789963)","(0.7286884188652039, 0.7160989046096802, -0.013106603175401688)","(0.8009753823280334, 0.8385553956031799, 0.09999833256006241)","(0.7110585570335388, 0.8300221562385559, 0.0990092009305954)","(0.7963497638702393, 0.8545398116111755, 0.1040063127875328)","(0.7114301323890686, 0.8441566824913025, 0.10470017045736313)","(0.8127129673957825, 0.8841246366500854, 0.012146452441811562)","(0.7040789723396301, 0.8687120676040649, 0.010983314365148544)"
"(0.7743778824806213, 0.3658210337162018, -0.19138671457767487)","(0.7765680551528931, 0.3587496280670166, -0.17825740575790405)","(0.778611958026886, 0.3596503436565399, -0.17829665541648865)","(0.7805963754653931, 0.3605605363845825, -0.1782831996679306)","(0.7701270580291748, 0.35796964168548584, -0.17804507911205292)","(0.7675983309745789, 0.35839948058128357, -0.17805427312850952)","(0.7650377750396729, 0.35881516337394714, -0.17806553840637207)","(0.7823928594589233, 0.3700754642486572, -0.10094302147626877)","(0.7609246373176575, 0.36775100231170654, -0.09863464534282684)","(0.7779995203018188, 0.3802199363708496, -0.163324236869812)","(0.7694682478904724, 0.37791264057159424, -0.16278833150863647)","(0.8021001815795898, 0.44254374504089355, -0.06752657890319824)","(0.7368989586830139, 0.446408212184906, -0.04447811469435692)","(0.8125062584877014, 0.5139904022216797, -0.10261930525302887)","(0.7217204570770264, 0.5322935581207275, -0.02510087564587593)","(0.8333362340927124, 0.52712082862854, -0.27586624026298523)","(0.708536684513092, 0.6073724627494812, -0.08882160484790802)","(0.8390085101127625, 0.5383039116859436, -0.31114882230758667)","(0.7036815881729126, 0.6317263841629028, -0.10760724544525146)","(0.8371003270149231, 0.5282938480377197, -0.3360588848590851)","(0.7067017555236816, 0.6335926055908203, -0.1321888267993927)","(0.8343683481216431, 0.5244770646095276, -0.2898828089237213)","(0.7092538475990295, 0.6253125071525574, -0.09966778755187988)","(0.7871381044387817, 0.6042770743370056, 0.005034752655774355)","(0.7496351599693298, 0.5996882915496826, -0.005084543488919735)","(0.8032400012016296, 0.729904294013977, -0.0017616963014006615)","(0.7339127659797668, 0.7203668355941772, -0.009988739155232906)","(0.8041377663612366, 0.8405179977416992, 0.10872017592191696)","(0.7136812806129456, 0.8328320384025574, 0.11094971001148224)","(0.7986426949501038, 0.8564707040786743, 0.11490758508443832)","(0.7115594148635864, 0.8470844030380249, 0.11769729107618332)","(0.8178325891494751, 0.8870058059692383, 0.019946549087762833)","(0.7080775499343872, 0.873436689376831, 0.02682935819029808)"
"(0.7815413475036621, 0.36331906914711, -0.20411953330039978)","(0.782265305519104, 0.3558722734451294, -0.19063125550746918)","(0.7840132713317871, 0.35637176036834717, -0.19065922498703003)","(0.7857477068901062, 0.3569251000881195, -0.1906522661447525)","(0.7762749195098877, 0.35627755522727966, -0.19211269915103912)","(0.7737392783164978, 0.35716620087623596, -0.19212904572486877)","(0.7711536884307861, 0.3581033945083618, -0.19215208292007446)","(0.7868738174438477, 0.3671744167804718, -0.10868483036756516)","(0.766720712184906, 0.3677510619163513, -0.11028876155614853)","(0.7853033542633057, 0.37805065512657166, -0.1741669774055481)","(0.7767751216888428, 0.3774127662181854, -0.1758188158273697)","(0.8080621361732483, 0.4406379759311676, -0.06561194360256195)","(0.7428159713745117, 0.4493103325366974, -0.04982434958219528)","(0.8179376721382141, 0.5147680640220642, -0.13627523183822632)","(0.7262064814567566, 0.5349249839782715, -0.017699124291539192)","(0.8276042342185974, 0.5096411108970642, -0.3286994397640228)","(0.7114809155464172, 0.6122913956642151, -0.06682465970516205)","(0.8322804570198059, 0.5103625655174255, -0.36424797773361206)","(0.7067088484764099, 0.6357398629188538, -0.07969209551811218)","(0.8311354517936707, 0.4991416931152344, -0.37927860021591187)","(0.7101359367370605, 0.6377841830253601, -0.1039966270327568)","(0.8287736177444458, 0.49835923314094543, -0.33905228972435)","(0.7127947211265564, 0.6291594505310059, -0.07683952152729034)","(0.7936471104621887, 0.6085230708122253, 0.005137215368449688)","(0.7543412446975708, 0.6071242690086365, -0.005213635042309761)","(0.8087986707687378, 0.7350261807441711, 0.0016251133056357503)","(0.7368555068969727, 0.7266810536384583, -0.010421554557979107)","(0.8098792433738708, 0.8466569781303406, 0.13848774135112762)","(0.7136397361755371, 0.8375552892684937, 0.1245313435792923)","(0.8046980500221252, 0.8650060892105103, 0.1461641788482666)","(0.7118875980377197, 0.8542765974998474, 0.13282418251037598)","(0.821590006351471, 0.8908604383468628, 0.050284914672374725)","(0.710167407989502, 0.8748946189880371, 0.0377991683781147)"
"(0.7860738635063171, 0.36329522728919983, -0.21593642234802246)","(0.786732017993927, 0.355593740940094, -0.2015281766653061)","(0.7885960936546326, 0.35598036646842957, -0.20154288411140442)","(0.7904254794120789, 0.3564351201057434, -0.20153480768203735)","(0.7806836366653442, 0.3562677502632141, -0.201101154088974)","(0.7781450748443604, 0.3571907877922058, -0.20116566121578217)","(0.7755548357963562, 0.35819801688194275, -0.2012648582458496)","(0.791523814201355, 0.3667033910751343, -0.11355255544185638)","(0.7705618143081665, 0.3685750961303711, -0.12424254417419434)","(0.7898697257041931, 0.37809160351753235, -0.18409670889377594)","(0.7814288139343262, 0.37760159373283386, -0.18215245008468628)","(0.8131872415542603, 0.4405835270881653, -0.06608937680721283)","(0.7475607991218567, 0.4538719058036804, -0.07017997652292252)","(0.8276472687721252, 0.5091460943222046, -0.12702850997447968)","(0.7289912700653076, 0.5401781797409058, -0.042826149612665176)","(0.8164933323860168, 0.482914000749588, -0.27208513021469116)","(0.7132179737091064, 0.6189197897911072, -0.08005909621715546)","(0.8110359907150269, 0.4791218936443329, -0.29981496930122375)","(0.7079433798789978, 0.6426594257354736, -0.09170842915773392)","(0.8095996379852295, 0.47212162613868713, -0.3044293522834778)","(0.7115708589553833, 0.6449601054191589, -0.11337289959192276)","(0.810218095779419, 0.4750663638114929, -0.27751046419143677)","(0.7145766615867615, 0.6371312141418457, -0.08841446787118912)","(0.7976136207580566, 0.616975724697113, 0.006978367920964956)","(0.7572393417358398, 0.6158519387245178, -0.006986560299992561)","(0.8149123191833496, 0.7416040897369385, -0.004097072873264551)","(0.7385944724082947, 0.7389233708381653, -0.0069763073697686195)","(0.8141554594039917, 0.8512410521507263, 0.16592425107955933)","(0.7135978937149048, 0.8410183191299438, 0.16257813572883606)","(0.8079847693443298, 0.8696061968803406, 0.17791137099266052)","(0.7115342617034912, 0.8567514419555664, 0.17490072548389435)","(0.8266909718513489, 0.8952718377113342, 0.08596092462539673)","(0.7123164534568787, 0.8773226141929626, 0.08096984773874283)"
"(0.7886694073677063, 0.3635738790035248, -0.26362892985343933)","(0.7903987765312195, 0.3558254539966583, -0.24813291430473328)","(0.7923269271850586, 0.3562682867050171, -0.24813036620616913)","(0.7943099737167358, 0.35678109526634216, -0.248112291097641)","(0.7840394377708435, 0.35641106963157654, -0.25090140104293823)","(0.7813531160354614, 0.35755449533462524, -0.2509777247905731)","(0.7784955501556396, 0.35884636640548706, -0.2510598301887512)","(0.7958776950836182, 0.3669385612010956, -0.15285655856132507)","(0.773815929889679, 0.36960679292678833, -0.16530515253543854)","(0.7925020456314087, 0.37838131189346313, -0.22840820252895355)","(0.7839207053184509, 0.37870627641677856, -0.23174051940441132)","(0.8170279264450073, 0.44092899560928345, -0.08181490749120712)","(0.7513787150382996, 0.4578697085380554, -0.11155220866203308)","(0.8262783288955688, 0.507168710231781, -0.15022817254066467)","(0.7315595149993896, 0.5476942658424377, -0.0897945687174797)","(0.8162281513214111, 0.47141072154045105, -0.3145640790462494)","(0.7145639061927795, 0.6284676194190979, -0.12425648421049118)","(0.8114258050918579, 0.46384716033935547, -0.345333993434906)","(0.7091442942619324, 0.6510248780250549, -0.13663417100906372)","(0.8103646039962769, 0.45785224437713623, -0.34879615902900696)","(0.712522566318512, 0.6525967717170715, -0.15718044340610504)","(0.8104454874992371, 0.46205171942710876, -0.32041820883750916)","(0.71550452709198, 0.6459385752677917, -0.1316155642271042)","(0.7999975681304932, 0.6187125444412231, 0.017697131261229515)","(0.7607374787330627, 0.6170971393585205, -0.01789301447570324)","(0.8202122449874878, 0.7437466979026794, -0.002261162968352437)","(0.7396775484085083, 0.743662416934967, -0.026723405346274376)","(0.8173922896385193, 0.8539062738418579, 0.1743570864200592)","(0.7124475240707397, 0.8418305516242981, 0.14292627573013306)","(0.810497522354126, 0.8710398077964783, 0.18645747005939484)","(0.707429051399231, 0.8565965294837952, 0.15440788865089417)","(0.8312537670135498, 0.896607518196106, 0.09536180645227432)","(0.7106999754905701, 0.8797070384025574, 0.05691562220454216)"
"(0.7929491400718689, 0.3642161190509796, -0.28102749586105347)","(0.7945771217346191, 0.3558904826641083, -0.26574864983558655)","(0.7965866327285767, 0.3564161956310272, -0.2657354176044464)","(0.7985636591911316, 0.3570365607738495, -0.2657231092453003)","(0.7879860401153564, 0.3569704592227936, -0.26798489689826965)","(0.7852669954299927, 0.3582591414451599, -0.26806211471557617)","(0.78252112865448, 0.3596954643726349, -0.2681272327899933)","(0.7998148202896118, 0.3671036958694458, -0.17131660878658295)","(0.7778728604316711, 0.3706071674823761, -0.18070487678050995)","(0.7971005439758301, 0.37901055812835693, -0.24602888524532318)","(0.7884088754653931, 0.3798176944255829, -0.24890783429145813)","(0.8193999528884888, 0.44101113080978394, -0.1021619662642479)","(0.753020167350769, 0.459457665681839, -0.11920526623725891)","(0.8286706209182739, 0.5066906213760376, -0.17089734971523285)","(0.7339122891426086, 0.5508185625076294, -0.0937829315662384)","(0.8155103325843811, 0.4560267925262451, -0.3209822475910187)","(0.7160593867301941, 0.633082389831543, -0.12725728750228882)","(0.8101198673248291, 0.4444074332714081, -0.34856629371643066)","(0.7102880477905273, 0.654962956905365, -0.13802377879619598)","(0.809525728225708, 0.43890976905822754, -0.349753737449646)","(0.7131826877593994, 0.6559466123580933, -0.1597788780927658)","(0.8096938133239746, 0.4443424642086029, -0.32528361678123474)","(0.716258704662323, 0.6497299671173096, -0.13523754477500916)","(0.801869809627533, 0.6186609268188477, 0.01670989766716957)","(0.7617448568344116, 0.6161072850227356, -0.016993260011076927)","(0.8234331607818604, 0.7436386346817017, -0.017144011333584785)","(0.740410327911377, 0.7430031895637512, -0.03099825419485569)","(0.8239921927452087, 0.8594585061073303, 0.17084424197673798)","(0.7119240164756775, 0.8425024747848511, 0.13712145388126373)","(0.8174914717674255, 0.8765974640846252, 0.1699335128068924)","(0.7048875093460083, 0.8576708436012268, 0.1537715047597885)","(0.8366572856903076, 0.8998342752456665, 0.09233880788087845)","(0.7057722806930542, 0.8797268867492676, 0.04241577908396721)"
"(0.7925950288772583, 0.3689362406730652, -0.26603949069976807)","(0.7951575517654419, 0.35914146900177, -0.2522493302822113)","(0.7973155975341797, 0.3594197928905487, -0.25224438309669495)","(0.7995188236236572, 0.3598928153514862, -0.25225546956062317)","(0.7887587547302246, 0.36038699746131897, -0.2529856860637665)","(0.7863783836364746, 0.36151808500289917, -0.2530667781829834)","(0.7840213179588318, 0.36284396052360535, -0.25313228368759155)","(0.8017187118530273, 0.36851802468299866, -0.16606497764587402)","(0.7803661227226257, 0.3731226325035095, -0.16871415078639984)","(0.7971585988998413, 0.3828094005584717, -0.23399941623210907)","(0.7890715003013611, 0.3837096095085144, -0.2348422408103943)","(0.8213427066802979, 0.44239869713783264, -0.09933407604694366)","(0.7547939419746399, 0.46073195338249207, -0.1110018789768219)","(0.8286645412445068, 0.4987073540687561, -0.0975005254149437)","(0.735210120677948, 0.55091792345047, -0.08513518422842026)","(0.8145618438720703, 0.47981351613998413, -0.11836107075214386)","(0.7186302542686462, 0.6342186331748962, -0.11868009716272354)","(0.8089570999145508, 0.4781244099140167, -0.12755398452281952)","(0.7122057676315308, 0.6558999419212341, -0.1271018385887146)","(0.8088353276252747, 0.47380679845809937, -0.13558965921401978)","(0.7147070169448853, 0.6571103930473328, -0.14944732189178467)","(0.8096054792404175, 0.47521278262138367, -0.12202998995780945)","(0.7181446552276611, 0.6507945656776428, -0.1271357536315918)","(0.8032363653182983, 0.6208023428916931, 0.012023652903735638)","(0.7634487152099609, 0.6185068488121033, -0.012269576080143452)","(0.8253111839294434, 0.7431761622428894, -0.025564059615135193)","(0.7402619123458862, 0.7443432807922363, -0.030492138117551804)","(0.8274261355400085, 0.8617687821388245, 0.15895777940750122)","(0.708297848701477, 0.8449617028236389, 0.13345162570476532)","(0.8207316994667053, 0.8787680268287659, 0.1644825041294098)","(0.7029179930686951, 0.8606898784637451, 0.14540527760982513)","(0.8394782543182373, 0.9012516140937805, 0.07453002035617828)","(0.7002439498901367, 0.8818495869636536, 0.047695256769657135)"
