1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
"(0.16413795948028564, -0.6617732048034668, -0.034130703657865524)","(0.13655033707618713, -0.6842318773269653, -0.06732617318630219)","(0.13675393164157867, -0.6845391392707825, -0.06660683453083038)","(0.13648179173469543, -0.6848855018615723, -0.06695998460054398)","(0.1691173017024994, -0.6768519282341003, -0.07348646223545074)","(0.16937510669231415, -0.6776024699211121, -0.07460369914770126)","(0.16892671585083008, -0.6788804531097412, -0.07400332391262054)","(0.05126408860087395, -0.6331084370613098, -0.1377607136964798)","(0.18678776919841766, -0.6138541102409363, -0.17305727303028107)","(0.13330528140068054, -0.6280517578125, -0.049598321318626404)","(0.17211894690990448, -0.6211545467376709, -0.0596606470644474)","(-0.08370912820100784, -0.4953765571117401, -0.12659388780593872)","(0.22225740551948547, -0.4411914050579071, -0.18080352246761322)","(-0.1882069706916809, -0.3173941969871521, -0.0320902056992054)","(0.24792110919952393, -0.21585524082183838, -0.07940748333930969)","(-0.06787991523742676, -0.26021164655685425, 0.14977523684501648)","(0.1849365383386612, -0.15232324600219727, 0.04596569016575813)","(-0.04105186089873314, -0.24795307219028473, 0.17353324592113495)","(0.1759577989578247, -0.14547334611415863, 0.06224943324923515)","(-0.01623644307255745, -0.2526533007621765, 0.17733560502529144)","(0.15298663079738617, -0.16377851366996765, 0.05877809226512909)","(-0.050747573375701904, -0.25580665469169617, 0.15833483636379242)","(0.17134712636470795, -0.15554969012737274, 0.04657718539237976)","(-0.06562312692403793, -0.01934501901268959, 0.02599070593714714)","(0.06542187184095383, 0.018226705491542816, -0.024754781275987625)","(-0.09831952303647995, 0.23818421363830566, 0.2376873642206192)","(0.07832376658916473, 0.301557332277298, 0.199753537774086)","(-0.09491267800331116, 0.49890559911727905, 0.44887229800224304)","(0.0691106840968132, 0.5979360342025757, 0.4032771587371826)","(-0.08648449182510376, 0.5287266373634338, 0.4696093201637268)","(0.06632200628519058, 0.6309119462966919, 0.42778685688972473)","(-0.051350172609090805, 0.5052032470703125, 0.4941857159137726)","(0.1087505966424942, 0.6290254592895508, 0.4526427686214447)"
"(0.1430586725473404, -0.6638716459274292, -0.03080752305686474)","(0.11081909388303757, -0.6866957545280457, -0.06651441752910614)","(0.11103818565607071, -0.6869345307350159, -0.0657900795340538)","(0.1107272282242775, -0.6872568726539612, -0.06620163470506668)","(0.14820659160614014, -0.6795824766159058, -0.0722600594162941)","(0.1484043002128601, -0.6803097128868103, -0.07338449358940125)","(0.14795446395874023, -0.6815810799598694, -0.07280448824167252)","(0.021266533061861992, -0.6330282688140869, -0.14423713088035583)","(0.17728129029273987, -0.613933265209198, -0.17538893222808838)","(0.11190400272607803, -0.6283718347549438, -0.049163173884153366)","(0.15702451765537262, -0.6216070055961609, -0.0588194765150547)","(-0.0946020632982254, -0.4895626902580261, -0.137213796377182)","(0.22135040163993835, -0.436072438955307, -0.18835051357746124)","(-0.18828752636909485, -0.3054380714893341, -0.05025067552924156)","(0.25125059485435486, -0.20282191038131714, -0.08116841316223145)","(-0.07813785970211029, -0.25267142057418823, 0.13652588427066803)","(0.19037500023841858, -0.14202740788459778, 0.04811518266797066)","(-0.05692955479025841, -0.2370406836271286, 0.16346926987171173)","(0.18273766338825226, -0.13121993839740753, 0.06320399045944214)","(-0.03200183063745499, -0.242300346493721, 0.16716958582401276)","(0.1639026552438736, -0.15113800764083862, 0.062013015151023865)","(-0.06139252334833145, -0.24801306426525116, 0.14532743394374847)","(0.17811685800552368, -0.14517873525619507, 0.049250394105911255)","(-0.06685492396354675, -0.01944035477936268, 0.02384563349187374)","(0.06658589839935303, 0.01831425353884697, -0.02271924540400505)","(-0.10397769510746002, 0.2176627665758133, 0.2670622169971466)","(0.07165846973657608, 0.3012557327747345, 0.23089423775672913)","(-0.09679252654314041, 0.46772751212120056, 0.520155131816864)","(0.0541997104883194, 0.5836835503578186, 0.4760752320289612)","(-0.08886014670133591, 0.49524497985839844, 0.5467215776443481)","(0.049300067126750946, 0.6135962605476379, 0.5056747794151306)","(-0.06315185874700546, 0.4644683599472046, 0.5819413065910339)","(0.07432577759027481, 0.594151496887207, 0.5336410403251648)"
"(0.1313895285129547, -0.6634826064109802, -0.0396326407790184)","(0.09913148730993271, -0.6861724853515625, -0.07523541897535324)","(0.09937939792871475, -0.6864141225814819, -0.0745076984167099)","(0.09910310804843903, -0.6867120265960693, -0.07502615451812744)","(0.13455168902873993, -0.6793654561042786, -0.08135005086660385)","(0.13476170599460602, -0.6800939440727234, -0.08250519633293152)","(0.13437649607658386, -0.6813564300537109, -0.08184416592121124)","(0.012333452701568604, -0.6314473748207092, -0.1517532914876938)","(0.16047829389572144, -0.6138819456100464, -0.18498270213603973)","(0.10161340236663818, -0.6276024580001831, -0.05746784061193466)","(0.1445237547159195, -0.6213039755821228, -0.0675690621137619)","(-0.09642960131168365, -0.4891878366470337, -0.142134889960289)","(0.2050897628068924, -0.4357908368110657, -0.19387993216514587)","(-0.1713164895772934, -0.30556586384773254, -0.05237066373229027)","(0.24160988628864288, -0.20115956664085388, -0.0832994133234024)","(-0.06058409810066223, -0.24556535482406616, 0.12881815433502197)","(0.19046324491500854, -0.12444434314966202, 0.04800987243652344)","(-0.03896546736359596, -0.2301129251718521, 0.15527260303497314)","(0.18460692465305328, -0.10996133834123611, 0.06219576299190521)","(-0.019499648362398148, -0.23500481247901917, 0.15623123943805695)","(0.16556306183338165, -0.13049151003360748, 0.061767082661390305)","(-0.04603803902864456, -0.24048975110054016, 0.13704565167427063)","(0.17844535410404205, -0.12699508666992188, 0.04919499158859253)","(-0.06664180755615234, -0.019457312300801277, 0.022577418014407158)","(0.06635801494121552, 0.01834031008183956, -0.021536869928240776)","(-0.10720881819725037, 0.22198177874088287, 0.2639424502849579)","(0.06246815249323845, 0.3137575387954712, 0.23087884485721588)","(-0.09725653380155563, 0.47036463022232056, 0.5110427737236023)","(0.046588294208049774, 0.5946923494338989, 0.46690553426742554)","(-0.08930129557847977, 0.4975847005844116, 0.5362257361412048)","(0.042154647409915924, 0.6248003244400024, 0.49472394585609436)","(-0.06393545866012573, 0.46810978651046753, 0.5661371350288391)","(0.06823458522558212, 0.6073170900344849, 0.5181757807731628)"
"(0.12154605239629745, -0.6535154581069946, -0.04632439464330673)","(0.0893496721982956, -0.6766297221183777, -0.0804230198264122)","(0.08964869379997253, -0.6768988370895386, -0.07957160472869873)","(0.08930641412734985, -0.6770926117897034, -0.08025622367858887)","(0.12223346531391144, -0.6711916923522949, -0.0883665680885315)","(0.12242097407579422, -0.6719091534614563, -0.08955003321170807)","(0.12208572030067444, -0.6731356382369995, -0.08874300867319107)","(0.0041276332922279835, -0.6252199411392212, -0.15113896131515503)","(0.13949038088321686, -0.6123868823051453, -0.19015957415103912)","(0.09247839450836182, -0.6195376515388489, -0.060250017791986465)","(0.13182412087917328, -0.6148600578308105, -0.07291365414857864)","(-0.1071733608841896, -0.48929351568222046, -0.13532565534114838)","(0.18494975566864014, -0.43434640765190125, -0.20370139181613922)","(-0.14227087795734406, -0.2954694926738739, -0.05591237545013428)","(0.23107531666755676, -0.18826082348823547, -0.09638640284538269)","(-0.023321865126490593, -0.198995903134346, 0.09553361684083939)","(0.18499070405960083, -0.08588968217372894, 0.025408703833818436)","(-0.007514077238738537, -0.18033193051815033, 0.12383075803518295)","(0.17898593842983246, -0.07096759229898453, 0.030089009553194046)","(0.01333585474640131, -0.17962703108787537, 0.12321694195270538)","(0.15839368104934692, -0.0872185006737709, 0.03415388613939285)","(-0.008394807577133179, -0.1912197321653366, 0.10281862318515778)","(0.17288808524608612, -0.08564955741167068, 0.026415979489684105)","(-0.06666398048400879, -0.021065019071102142, 0.02340076118707657)","(0.06637623906135559, 0.020052384585142136, -0.022451251745224)","(-0.10705031454563141, 0.21657238900661469, 0.27376705408096313)","(0.0633014440536499, 0.3219776153564453, 0.22837266325950623)","(-0.09361472725868225, 0.45987799763679504, 0.522221565246582)","(0.04823574423789978, 0.6124445199966431, 0.4615722894668579)","(-0.08586781471967697, 0.4867779016494751, 0.5470251441001892)","(0.044038768857717514, 0.6436780691146851, 0.48886919021606445)","(-0.06345715373754501, 0.46179741621017456, 0.5761505365371704)","(0.07123427093029022, 0.6229384541511536, 0.5102369785308838)"
"(0.11083900183439255, -0.6482752561569214, -0.03789025545120239)","(0.07865455001592636, -0.673582911491394, -0.07155847549438477)","(0.0788559690117836, -0.6737270951271057, -0.07066130638122559)","(0.07860614359378815, -0.6739705204963684, -0.07142697274684906)","(0.11070236563682556, -0.6683927178382874, -0.07952813059091568)","(0.11090796440839767, -0.669135570526123, -0.08065932244062424)","(0.11054746806621552, -0.6703056693077087, -0.07997604459524155)","(-0.0018944548210129142, -0.6243504881858826, -0.14163288474082947)","(0.13061101734638214, -0.6123653650283813, -0.18322737514972687)","(0.08399993181228638, -0.6143519878387451, -0.053004808723926544)","(0.12241411954164505, -0.6102311015129089, -0.06579602509737015)","(-0.10947313159704208, -0.4892750084400177, -0.12733110785484314)","(0.17554906010627747, -0.43399518728256226, -0.20305028557777405)","(-0.1478285789489746, -0.29492273926734924, -0.06305573135614395)","(0.22836804389953613, -0.1884259432554245, -0.11102921515703201)","(-0.029530664905905724, -0.18457576632499695, 0.06998995691537857)","(0.2003803849220276, -0.06610575318336487, 0.022030042484402657)","(-0.012143726460635662, -0.1540164053440094, 0.09360529482364655)","(0.19964420795440674, -0.03998040780425072, 0.03220933675765991)","(0.009418894536793232, -0.15424367785453796, 0.0950356125831604)","(0.18074418604373932, -0.0576428659260273, 0.03607982397079468)","(-0.014817086979746819, -0.17509149014949799, 0.07685864716768265)","(0.19173097610473633, -0.06475576013326645, 0.024036291986703873)","(-0.0661393404006958, -0.022463098168373108, 0.02706817537546158)","(0.06578885763883591, 0.021477891132235527, -0.0262676402926445)","(-0.10770226269960403, 0.18289978802204132, 0.2935934066772461)","(0.06389781087636948, 0.3285241425037384, 0.2247028350830078)","(-0.09890636056661606, 0.3837553858757019, 0.5390545725822449)","(0.05177483707666397, 0.6165690422058105, 0.45534664392471313)","(-0.09221911430358887, 0.4075607359409332, 0.5632789134979248)","(0.047627147287130356, 0.648160994052887, 0.4822138845920563)","(-0.07139483839273453, 0.39194416999816895, 0.5940858125686646)","(0.07279518991708755, 0.6344013810157776, 0.5069389939308167)"
"(0.0876799002289772, -0.588424563407898, -0.08162923902273178)","(0.061946168541908264, -0.6131510734558105, -0.10966606438159943)","(0.06223917007446289, -0.613632321357727, -0.10885079205036163)","(0.06179310381412506, -0.613557755947113, -0.10931748151779175)","(0.0879695862531662, -0.61284339427948, -0.11894139647483826)","(0.08839980512857437, -0.6135435104370117, -0.1201942190527916)","(0.08803585171699524, -0.6147048473358154, -0.11934547871351242)","(-0.006522567011415958, -0.5844739079475403, -0.1491297036409378)","(0.10350899398326874, -0.5911471843719482, -0.19996395707130432)","(0.06406567990779877, -0.5612970590591431, -0.08491092920303345)","(0.09474184364080429, -0.5632072687149048, -0.09927672147750854)","(-0.10815420746803284, -0.4716283977031708, -0.12775422632694244)","(0.14198561012744904, -0.4298672080039978, -0.2083663046360016)","(-0.10922490060329437, -0.2664325535297394, -0.08044072985649109)","(0.19971731305122375, -0.1823587268590927, -0.1274309903383255)","(-0.0009108317317441106, -0.12947791814804077, 0.0032859863713383675)","(0.1954881101846695, -0.05178463086485863, -0.012770160101354122)","(0.01650228723883629, -0.09802471846342087, 0.02131834626197815)","(0.19775182008743286, -0.027817662805318832, -0.004753568675369024)","(0.031197745352983475, -0.10586035251617432, 0.025286570191383362)","(0.17895914614200592, -0.0508480966091156, 0.0010556995403021574)","(0.01047389768064022, -0.12285730987787247, 0.009573781862854958)","(0.188206747174263, -0.05298442766070366, -0.011781451292335987)","(-0.06230398267507553, -0.022686496376991272, 0.027040334418416023)","(0.061971377581357956, 0.021734178066253662, -0.026241222396492958)","(-0.10353224724531174, 0.1542728841304779, 0.30209609866142273)","(0.06851799786090851, 0.3251717686653137, 0.22878491878509521)","(-0.09504356980323792, 0.32087400555610657, 0.5623612403869629)","(0.0805702731013298, 0.5977466702461243, 0.4853329360485077)","(-0.08883879333734512, 0.33952170610427856, 0.5884714126586914)","(0.07979965209960938, 0.6270449161529541, 0.5155199766159058)","(-0.07106994837522507, 0.31097212433815, 0.6393389701843262)","(0.1067071259021759, 0.6178458333015442, 0.5408022999763489)"
"(0.012400375679135323, -0.5840224027633667, -0.13212931156158447)","(0.009273448027670383, -0.6157191395759583, -0.1474704146385193)","(0.009572678245604038, -0.6162306666374207, -0.1470770686864853)","(0.009089389815926552, -0.6161991357803345, -0.14764195680618286)","(0.0081613315269351, -0.616664469242096, -0.14826500415802002)","(0.008460094220936298, -0.617270290851593, -0.1495361328125)","(0.00809002947062254, -0.6184408664703369, -0.14884376525878906)","(-0.0018924520118162036, -0.5917941331863403, -0.14889460802078247)","(0.00942931417375803, -0.6041334867477417, -0.17099249362945557)","(0.01526403333991766, -0.5595706701278687, -0.12131466716527939)","(0.011212398298084736, -0.562444806098938, -0.12332381308078766)","(0.016450800001621246, -0.467644065618515, -0.12235553562641144)","(0.0004676292010117322, -0.4657147526741028, -0.1531887948513031)","(0.09352310001850128, -0.24226734042167664, -0.1241818219423294)","(-0.019391095265746117, -0.21987760066986084, -0.12471458315849304)","(0.14590252935886383, -0.06652135401964188, -0.16592946648597717)","(-0.033377017825841904, -0.05178358405828476, -0.13924525678157806)","(0.16054286062717438, -0.012836581096053123, -0.18217533826828003)","(-0.025049792602658272, -0.010557817295193672, -0.1468460112810135)","(0.16219495236873627, -0.023239530622959137, -0.18849870562553406)","(-0.025418126955628395, -0.021633315831422806, -0.16561810672283173)","(0.14864720404148102, -0.05901091545820236, -0.16847927868366241)","(-0.02936967834830284, -0.04607044532895088, -0.1507280170917511)","(0.008055059239268303, -0.0076999119482934475, 0.008180861361324787)","(-0.00829355325549841, 0.007106241770088673, -0.007259827572852373)","(-0.03474975377321243, 0.25938424468040466, 0.25087305903434753)","(0.008786817081272602, 0.2903076708316803, 0.2320617288351059)","(-0.030446821823716164, 0.4606301486492157, 0.5054705142974854)","(0.04135831072926521, 0.500225841999054, 0.4766978621482849)","(-0.026672201231122017, 0.4823046028614044, 0.5252475142478943)","(0.04106459021568298, 0.5231785774230957, 0.5047563314437866)","(-0.024163762107491493, 0.48438000679016113, 0.5019603371620178)","(0.044461026787757874, 0.516392707824707, 0.4967234134674072)"
"(0.000729120394680649, -0.4939032793045044, -0.3989298641681671)","(0.014470391906797886, -0.5350964665412903, -0.40589457750320435)","(0.014604287222027779, -0.535451352596283, -0.40526995062828064)","(0.01440371386706829, -0.535549521446228, -0.40609657764434814)","(-0.010606858879327774, -0.5368297696113586, -0.3995983302593231)","(-0.01070212572813034, -0.5370275378227234, -0.4009992778301239)","(-0.01121921744197607, -0.5381423234939575, -0.4005458950996399)","(0.06271245330572128, -0.5591627955436707, -0.309768944978714)","(-0.049226295202970505, -0.5740776658058167, -0.29193630814552307)","(0.020777754485607147, -0.4859767556190491, -0.3538818359375)","(-0.014851216226816177, -0.48791512846946716, -0.3484123647212982)","(0.168436199426651, -0.4374593198299408, -0.21920935809612274)","(-0.1417893022298813, -0.4633054733276367, -0.18049900233745575)","(0.2100576013326645, -0.21320179104804993, -0.22731205821037292)","(-0.15158364176750183, -0.24032710492610931, -0.16094426810741425)","(0.19397702813148499, -0.11150099337100983, -0.33466991782188416)","(-0.11428932100534439, -0.06699784100055695, -0.2513485550880432)","(0.188198983669281, -0.07824346423149109, -0.37247321009635925)","(-0.10249502956867218, -0.02936534956097603, -0.2698262631893158)","(0.18085169792175293, -0.08683279901742935, -0.38957104086875916)","(-0.09304336458444595, -0.039787400513887405, -0.292897492647171)","(0.18871653079986572, -0.1093129962682724, -0.3418503999710083)","(-0.10171999037265778, -0.059508297592401505, -0.2650085985660553)","(0.09026990085840225, 0.005233175121247768, -0.0017963603604584932)","(-0.09070778638124466, -0.00585233885794878, 0.002460713963955641)","(0.041797883808612823, 0.3103277087211609, 0.19049669802188873)","(-0.06672894209623337, 0.2502972185611725, 0.23722019791603088)","(0.08088375627994537, 0.5276747345924377, 0.4763549566268921)","(0.005559973884373903, 0.3795679211616516, 0.5144187808036804)","(0.08657317608594894, 0.5582187175750732, 0.4988596737384796)","(0.00788086373358965, 0.4007747173309326, 0.5427125096321106)","(0.06883235275745392, 0.6258353590965271, 0.41342127323150635)","(-0.009135899133980274, 0.44762662053108215, 0.49614986777305603)"
"(0.008035875856876373, -0.5256335735321045, -0.3517474830150604)","(0.002646557055413723, -0.5583412051200867, -0.3315376341342926)","(0.0029296947177499533, -0.5578511357307434, -0.3330925405025482)","(0.0023918678052723408, -0.5588665008544922, -0.3321708142757416)","(0.004554157145321369, -0.541712760925293, -0.3042970299720764)","(0.004898753948509693, -0.5424916744232178, -0.30563414096832275)","(0.004287331365048885, -0.543334424495697, -0.30618318915367126)","(0.0034166916739195585, -0.5614290237426758, -0.21719199419021606)","(0.004963237792253494, -0.59494549036026, -0.2053120732307434)","(0.007846878841519356, -0.5151904225349426, -0.34215712547302246)","(0.008340781554579735, -0.5016598105430603, -0.2865060269832611)","(0.049615614116191864, -0.4417804479598999, -0.16745221614837646)","(-0.02065981924533844, -0.46208620071411133, -0.162034809589386)","(0.09132952988147736, -0.23436692357063293, -0.1595892310142517)","(-0.028982048854231834, -0.24011176824569702, -0.11995691806077957)","(0.18008500337600708, -0.12901562452316284, -0.17212830483913422)","(-0.04879428446292877, -0.12049584090709686, -0.19698180258274078)","(0.19427411258220673, -0.10480649769306183, -0.18607452511787415)","(-0.046806320548057556, -0.08856837451457977, -0.2163684368133545)","(0.20441854000091553, -0.10543347150087357, -0.18918108940124512)","(-0.05718853697180748, -0.11260263621807098, -0.16862674057483673)","(0.18744978308677673, -0.11937520653009415, -0.17362171411514282)","(-0.050318002700805664, -0.12296732515096664, -0.17275619506835938)","(0.0350039042532444, 0.0015730670420452952, 0.0017121890559792519)","(-0.03535154461860657, -0.0022904512006789446, -0.0009111895342357457)","(-0.003094461979344487, 0.28362542390823364, 0.20166794955730438)","(-0.0275709368288517, 0.2836664617061615, 0.2325349897146225)","(0.032525304704904556, 0.5026468634605408, 0.4794549345970154)","(0.06936969608068466, 0.4888123571872711, 0.4849286377429962)","(0.04244345799088478, 0.5305513739585876, 0.5013585686683655)","(0.07442014664411545, 0.5178635120391846, 0.5093570947647095)","(0.06071058288216591, 0.5497449636459351, 0.4667896628379822)","(0.0874406024813652, 0.5552866458892822, 0.461822509765625)"
"(0.009277909062802792, -0.6259129643440247, -0.1500498503446579)","(-0.012701500207185745, -0.6340482831001282, -0.18381795287132263)","(-0.012491019442677498, -0.6341158747673035, -0.18406416475772858)","(-0.012839480303227901, -0.6344271898269653, -0.183932363986969)","(0.012671168893575668, -0.6327692866325378, -0.17754626274108887)","(0.012844125740230083, -0.6335431933403015, -0.17837685346603394)","(0.012274052016437054, -0.6346293687820435, -0.17812417447566986)","(-0.06936277449131012, -0.5673865079879761, -0.20472832024097443)","(0.023147039115428925, -0.6054657697677612, -0.2071254402399063)","(-0.008546342141926289, -0.588347315788269, -0.1821279674768448)","(0.02037554234266281, -0.5898169279098511, -0.16778500378131866)","(-0.09924754500389099, -0.43173232674598694, -0.16984957456588745)","(0.05305318906903267, -0.4652344584465027, -0.18304230272769928)","(-0.07775860279798508, -0.2208225131034851, -0.14700965583324432)","(0.11401649564504623, -0.24553100764751434, -0.1192156970500946)","(0.07702446728944778, -0.13941027224063873, -0.1521540880203247)","(0.11816351860761642, -0.1506909877061844, -0.0955398753285408)","(0.10848066955804825, -0.10568953305482864, -0.1603309065103531)","(0.13305874168872833, -0.12122935056686401, -0.09487354010343552)","(0.1465594321489334, -0.11337964981794357, -0.17962734401226044)","(0.11992847174406052, -0.13921307027339935, -0.08003650605678558)","(0.10028498619794846, -0.130961075425148, -0.15839248895645142)","(0.11432036757469177, -0.1509382426738739, -0.08308367431163788)","(-0.01676914282143116, 0.0012462491868063807, 0.0020327300298959017)","(0.01656929962337017, -0.0019861203618347645, -0.0011412707390263677)","(-0.01567539945244789, 0.27736696600914, 0.2319290041923523)","(0.05403289198875427, 0.2891943156719208, 0.24253295361995697)","(0.02569190412759781, 0.5010591745376587, 0.4981054365634918)","(0.1078299805521965, 0.5586846470832825, 0.4897163510322571)","(0.03730741888284683, 0.5283752679824829, 0.5223854780197144)","(0.11227133870124817, 0.5913756489753723, 0.5146600008010864)","(0.050413113087415695, 0.524975597858429, 0.53318190574646)","(0.12540961802005768, 0.6072325110435486, 0.5099653005599976)"
