1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
"(472, 147)","(472, 142)","(471, 141)","(471, 141)","(472, 142)","(472, 142)","(472, 142)","(468, 141)","(470, 142)","(470, 151)","(470, 151)","(443, 163)","(465, 161)","(420, 198)","(450, 193)","(421, 223)","(447, 221)","(422, 230)","(446, 229)","(422, 228)","(448, 228)","(422, 226)","(448, 225)","(446, 231)","(453, 234)","(451, 182)","(487, 217)","(444, 176)","(516, 226)","(443, 178)","(518, 231)","(440, 162)","(533, 218)"
"(464, 148)","(465, 144)","(466, 143)","(467, 143)","(462, 144)","(461, 144)","(460, 144)","(467, 144)","(456, 144)","(465, 152)","(462, 152)","(478, 165)","(438, 163)","(491, 198)","(404, 191)","(510, 223)","(405, 222)","(518, 228)","(402, 230)","(517, 228)","(409, 229)","(513, 226)","(411, 227)","(458, 233)","(439, 235)","(462, 184)","(448, 193)","(459, 176)","(469, 189)","(458, 180)","(471, 197)","(459, 154)","(484, 164)"
"(463, 156)","(466, 152)","(467, 152)","(468, 152)","(462, 152)","(460, 152)","(459, 151)","(470, 152)","(456, 151)","(465, 159)","(461, 159)","(484, 169)","(435, 167)","(500, 199)","(395, 193)","(511, 224)","(400, 222)","(516, 229)","(401, 231)","(515, 229)","(402, 232)","(512, 228)","(408, 227)","(462, 235)","(436, 237)","(469, 184)","(438, 186)","(466, 179)","(458, 186)","(464, 187)","(460, 197)","(464, 155)","(467, 160)"
"(461, 166)","(462, 163)","(461, 162)","(461, 162)","(462, 163)","(462, 163)","(462, 163)","(461, 163)","(459, 163)","(460, 169)","(461, 169)","(451, 175)","(465, 175)","(434, 202)","(442, 197)","(439, 229)","(435, 225)","(441, 234)","(435, 232)","(440, 235)","(435, 233)","(440, 233)","(435, 230)","(447, 236)","(450, 237)","(450, 181)","(456, 191)","(460, 159)","(475, 166)","(458, 162)","(476, 167)","(458, 138)","(484, 148)"
"(460, 168)","(459, 164)","(457, 164)","(456, 163)","(463, 165)","(463, 165)","(462, 165)","(452, 164)","(463, 167)","(457, 169)","(461, 170)","(430, 175)","(478, 181)","(403, 198)","(473, 203)","(408, 230)","(467, 233)","(408, 235)","(467, 238)","(410, 236)","(465, 240)","(411, 234)","(465, 237)","(435, 236)","(458, 237)","(431, 181)","(466, 197)","(451, 151)","(477, 164)","(457, 153)","(479, 163)","(455, 129)","(491, 144)"
"(461, 165)","(461, 161)","(460, 161)","(458, 161)","(463, 162)","(464, 162)","(463, 161)","(456, 162)","(464, 163)","(459, 168)","(461, 168)","(439, 175)","(472, 176)","(416, 201)","(457, 202)","(421, 230)","(460, 230)","(423, 235)","(461, 237)","(425, 236)","(455, 237)","(427, 234)","(454, 235)","(439, 235)","(456, 236)","(440, 178)","(466, 193)","(456, 155)","(484, 164)","(458, 157)","(486, 165)","(459, 134)","(497, 144)"
"(471, 146)","(471, 141)","(470, 141)","(470, 141)","(471, 141)","(472, 141)","(472, 141)","(468, 142)","(470, 142)","(469, 150)","(470, 150)","(447, 163)","(465, 163)","(441, 193)","(443, 191)","(448, 218)","(435, 217)","(451, 225)","(434, 224)","(449, 223)","(436, 223)","(448, 222)","(436, 222)","(445, 237)","(453, 237)","(442, 194)","(468, 200)","(435, 205)","(483, 214)","(434, 210)","(484, 219)","(431, 198)","(494, 208)"
"(464, 154)","(466, 150)","(468, 150)","(469, 150)","(463, 149)","(461, 149)","(460, 149)","(469, 151)","(458, 149)","(466, 159)","(462, 158)","(479, 170)","(441, 167)","(502, 199)","(407, 189)","(523, 227)","(402, 221)","(531, 233)","(398, 228)","(530, 234)","(404, 229)","(526, 233)","(407, 227)","(457, 236)","(443, 237)","(471, 195)","(458, 196)","(481, 215)","(485, 214)","(480, 224)","(488, 224)","(484, 206)","(499, 205)"
"(463, 151)","(466, 147)","(467, 147)","(468, 148)","(461, 147)","(459, 146)","(458, 146)","(469, 150)","(455, 147)","(465, 157)","(460, 156)","(484, 168)","(436, 167)","(504, 200)","(402, 187)","(526, 228)","(397, 222)","(534, 233)","(393, 231)","(533, 235)","(400, 232)","(528, 234)","(403, 229)","(462, 234)","(437, 235)","(485, 195)","(444, 190)","(493, 215)","(468, 213)","(492, 224)","(471, 223)","(499, 204)","(478, 201)"
"(461, 154)","(464, 150)","(465, 150)","(467, 150)","(460, 149)","(459, 149)","(458, 149)","(469, 152)","(457, 149)","(463, 159)","(459, 158)","(475, 170)","(443, 167)","(493, 200)","(412, 187)","(516, 230)","(406, 222)","(524, 236)","(403, 230)","(523, 239)","(408, 232)","(519, 238)","(410, 230)","(458, 234)","(441, 235)","(468, 196)","(464, 201)","(472, 221)","(502, 225)","(472, 229)","(506, 235)","(472, 216)","(519, 213)"
"(462, 155)","(465, 151)","(466, 151)","(467, 152)","(461, 150)","(460, 150)","(459, 150)","(469, 154)","(458, 151)","(464, 160)","(460, 159)","(474, 172)","(445, 168)","(490, 205)","(413, 189)","(513, 232)","(408, 223)","(521, 237)","(406, 230)","(521, 238)","(409, 232)","(517, 238)","(411, 230)","(457, 235)","(443, 236)","(464, 201)","(473, 211)","(469, 229)","(508, 235)","(470, 236)","(512, 245)","(471, 228)","(527, 227)"
"(463, 155)","(463, 150)","(463, 150)","(462, 150)","(462, 150)","(462, 150)","(463, 150)","(459, 152)","(463, 151)","(462, 159)","(461, 158)","(435, 163)","(472, 168)","(411, 195)","(472, 194)","(412, 218)","(468, 219)","(411, 224)","(469, 226)","(412, 223)","(467, 224)","(413, 221)","(466, 222)","(438, 232)","(453, 234)","(450, 198)","(492, 209)","(457, 224)","(525, 239)","(459, 230)","(528, 246)","(455, 224)","(542, 239)"
"(462, 158)","(464, 155)","(464, 155)","(466, 155)","(462, 154)","(461, 154)","(460, 154)","(469, 156)","(458, 154)","(462, 162)","(459, 162)","(478, 172)","(438, 169)","(488, 204)","(399, 195)","(497, 227)","(409, 222)","(501, 233)","(410, 231)","(499, 232)","(412, 234)","(497, 231)","(414, 228)","(458, 232)","(439, 235)","(487, 192)","(452, 198)","(495, 223)","(483, 226)","(494, 228)","(486, 238)","(499, 220)","(494, 220)"
"(459, 156)","(460, 149)","(463, 150)","(464, 151)","(458, 151)","(456, 151)","(455, 150)","(469, 156)","(452, 151)","(461, 162)","(455, 160)","(480, 172)","(433, 169)","(499, 203)","(401, 195)","(505, 200)","(398, 214)","(508, 200)","(393, 221)","(506, 197)","(399, 220)","(504, 198)","(402, 218)","(458, 233)","(429, 234)","(476, 192)","(428, 183)","(468, 189)","(443, 186)","(464, 193)","(444, 195)","(458, 171)","(451, 169)"
