1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
"(0.05745789036154747, -0.6416151523590088, -0.2839576005935669)","(0.061684172600507736, -0.6800045967102051, -0.26338911056518555)","(0.06211939454078674, -0.6805378794670105, -0.2626822292804718)","(0.06206639111042023, -0.6811545491218567, -0.26269906759262085)","(0.031123965978622437, -0.677304208278656, -0.27135467529296875)","(0.0316866971552372, -0.6782869100570679, -0.2718844711780548)","(0.03164639696478844, -0.6797304153442383, -0.270822137594223)","(0.0778145045042038, -0.6586900949478149, -0.1453603357076645)","(-0.05779259651899338, -0.6570507287979126, -0.19476574659347534)","(0.06586110591888428, -0.6129903197288513, -0.24302776157855988)","(0.026026885956525803, -0.6115188598632812, -0.255551815032959)","(0.1582021713256836, -0.4552336633205414, -0.04924017935991287)","(-0.1582067310810089, -0.46556010842323303, -0.15335585176944733)","(0.17691001296043396, -0.23267512023448944, 0.013853437267243862)","(-0.23486267030239105, -0.20340919494628906, -0.11505157500505447)","(0.28179866075515747, -0.036170825362205505, -0.07982924580574036)","(-0.26725316047668457, 0.04000435397028923, -0.1713528037071228)","(0.3093174695968628, 0.03217822313308716, -0.0955905020236969)","(-0.2729056477546692, 0.12251456081867218, -0.19333206117153168)","(0.30991193652153015, 0.040408119559288025, -0.13676972687244415)","(-0.25966161489486694, 0.12390585243701935, -0.22469469904899597)","(0.28327682614326477, -0.018754689022898674, -0.09784325212240219)","(-0.2562408149242401, 0.059390295296907425, -0.18561969697475433)","(0.11306966841220856, 0.0042104171589016914, 0.03327266126871109)","(-0.11322931200265884, -0.004797964356839657, -0.031693845987319946)","(0.1887320876121521, 0.3854466676712036, 0.022391997277736664)","(-0.16334106028079987, 0.3796960711479187, -0.012282893061637878)","(0.25587740540504456, 0.7311580777168274, 0.14842791855335236)","(-0.23297914862632751, 0.7112635374069214, 0.1453857123851776)","(0.26794523000717163, 0.7757603526115417, 0.1519184559583664)","(-0.24126887321472168, 0.7552110552787781, 0.15209408104419708)","(0.335697740316391, 0.8363842368125916, 0.0424291230738163)","(-0.2683107554912567, 0.8246411681175232, 0.023202547803521156)"
"(0.050959259271621704, -0.6272016763687134, -0.34182706475257874)","(0.05811820551753044, -0.6640322804450989, -0.32312721014022827)","(0.05847448110580444, -0.6645976901054382, -0.32234787940979004)","(0.05844643712043762, -0.6650922894477844, -0.3222236931324005)","(0.026635045185685158, -0.6626712083816528, -0.3282131850719452)","(0.027114156633615494, -0.6636959910392761, -0.328748881816864)","(0.027027776464819908, -0.665121853351593, -0.3275526762008667)","(0.07967827469110489, -0.6404900550842285, -0.2040856033563614)","(-0.05803040415048599, -0.6449644565582275, -0.24164660274982452)","(0.062455423176288605, -0.597972571849823, -0.29969507455825806)","(0.021274369210004807, -0.5979304313659668, -0.3091971278190613)","(0.16192947328090668, -0.4465537965297699, -0.10033679753541946)","(-0.1581701785326004, -0.4607113301753998, -0.17348285019397736)","(0.18953624367713928, -0.22664012014865875, -0.03717312216758728)","(-0.23435573279857635, -0.20048733055591583, -0.12539970874786377)","(0.3164004385471344, -0.03618011251091957, -0.13197943568229675)","(-0.26755887269973755, 0.043298449367284775, -0.18997135758399963)","(0.35034531354904175, 0.031989935785532, -0.14518855512142181)","(-0.2729613482952118, 0.12539120018482208, -0.20799575746059418)","(0.3559526801109314, 0.04000145569443703, -0.18725013732910156)","(-0.2598832845687866, 0.12726445496082306, -0.24520835280418396)","(0.3207855522632599, -0.01900198496878147, -0.14902853965759277)","(-0.2563847303390503, 0.06266193836927414, -0.20587100088596344)","(0.11364278197288513, 0.004233505576848984, 0.029824379831552505)","(-0.11382506787776947, -0.004830384161323309, -0.028331587091088295)","(0.19103609025478363, 0.3900931477546692, 0.020546618849039078)","(-0.16337022185325623, 0.37875986099243164, -0.012277640402317047)","(0.25896263122558594, 0.7357810735702515, 0.1472969949245453)","(-0.2438979297876358, 0.7104200720787048, 0.14370141923427582)","(0.270750492811203, 0.7805810570716858, 0.1504685878753662)","(-0.254374623298645, 0.754418134689331, 0.14981874823570251)","(0.336691290140152, 0.8425738215446472, 0.03924180939793587)","(-0.28900080919265747, 0.8210880756378174, 0.022621575742959976)"
"(0.0400254987180233, -0.6252880692481995, -0.35442689061164856)","(0.05089660733938217, -0.6614258289337158, -0.3353734612464905)","(0.05120326206088066, -0.6620216369628906, -0.3346373736858368)","(0.0511971078813076, -0.6624665260314941, -0.33442065119743347)","(0.01837453432381153, -0.660433292388916, -0.3377668559551239)","(0.01874714344739914, -0.6614753007888794, -0.33828219771385193)","(0.018683401867747307, -0.6628738045692444, -0.3370998799800873)","(0.08237230032682419, -0.635316014289856, -0.21821461617946625)","(-0.058285996317863464, -0.6418557167053223, -0.2440113127231598)","(0.056442346423864365, -0.5951358079910278, -0.31329646706581116)","(0.013685161247849464, -0.5955814719200134, -0.31927308440208435)","(0.16438819468021393, -0.4422943592071533, -0.12121736258268356)","(-0.15738442540168762, -0.4573676884174347, -0.17231272161006927)","(0.19583016633987427, -0.22564838826656342, -0.08086948841810226)","(-0.23424474895000458, -0.19890113174915314, -0.1250859498977661)","(0.33846208453178406, -0.05784885585308075, -0.19995100796222687)","(-0.27300480008125305, 0.04291918873786926, -0.19021464884281158)","(0.376976877450943, 0.0021221882198005915, -0.2176491767168045)","(-0.2787824869155884, 0.12461347132921219, -0.20706094801425934)","(0.3864617943763733, 0.005786103196442127, -0.2602775990962982)","(-0.27000537514686584, 0.1250811219215393, -0.24461248517036438)","(0.34568411111831665, -0.045134227722883224, -0.21768464148044586)","(-0.2623123228549957, 0.061531346291303635, -0.20661486685276031)","(0.11390483379364014, 0.004410861991345882, 0.02542126178741455)","(-0.11411061137914658, -0.005021074786782265, -0.024051513522863388)","(0.18778884410858154, 0.40131551027297974, 0.017483435571193695)","(-0.16658848524093628, 0.37874943017959595, -0.008771487511694431)","(0.25368931889533997, 0.7539178133010864, 0.13774842023849487)","(-0.25606492161750793, 0.7123587131500244, 0.14362266659736633)","(0.26551884412765503, 0.7997245192527771, 0.13946203887462616)","(-0.26808619499206543, 0.7568010091781616, 0.14941281080245972)","(0.334323525428772, 0.8567460775375366, 0.02411285787820816)","(-0.3149796724319458, 0.8205394148826599, 0.022666916251182556)"
"(0.03277118504047394, -0.6271372437477112, -0.34165772795677185)","(0.04323359951376915, -0.6625282764434814, -0.32225123047828674)","(0.04355861619114876, -0.6631850600242615, -0.3215125501155853)","(0.04357367753982544, -0.6635364890098572, -0.3213905096054077)","(0.010778297670185566, -0.6615612506866455, -0.32701829075813293)","(0.011094395071268082, -0.6625581979751587, -0.3275519013404846)","(0.011086239479482174, -0.6639145612716675, -0.32639238238334656)","(0.08197081089019775, -0.6358265280723572, -0.20465345680713654)","(-0.06107909604907036, -0.642085611820221, -0.23901531100273132)","(0.05119102820754051, -0.5966438055038452, -0.30050501227378845)","(0.008164728060364723, -0.5968544483184814, -0.30916160345077515)","(0.16379626095294952, -0.44783341884613037, -0.11193418502807617)","(-0.1578906625509262, -0.45719030499458313, -0.1523699313402176)","(0.19531071186065674, -0.24610568583011627, -0.10467497259378433)","(-0.2384113371372223, -0.1981355845928192, -0.11007756739854813)","(0.3368084728717804, -0.13185520470142365, -0.2772425413131714)","(-0.28775060176849365, 0.04001791775226593, -0.17924469709396362)","(0.37466248869895935, -0.08139399439096451, -0.3061766028404236)","(-0.2941049039363861, 0.12218733131885529, -0.1910049170255661)","(0.38152414560317993, -0.08491695672273636, -0.34950342774391174)","(-0.2903120815753937, 0.11683705449104309, -0.2303447723388672)","(0.3437202572822571, -0.12465047091245651, -0.29656490683555603)","(-0.2777332067489624, 0.05566006153821945, -0.1961487978696823)","(0.1141311451792717, 0.0044181616976857185, 0.021174924448132515)","(-0.11434999108314514, -0.005030946806073189, -0.019909853115677834)","(0.17176859080791473, 0.40808796882629395, 0.01323821023106575)","(-0.1707519292831421, 0.3787497580051422, -0.005480703432112932)","(0.2323593646287918, 0.7557856440544128, 0.1359744518995285)","(-0.26514291763305664, 0.7132951021194458, 0.14548324048519135)","(0.24362018704414368, 0.8015545606613159, 0.1378547102212906)","(-0.27776244282722473, 0.7579010725021362, 0.15094316005706787)","(0.30930256843566895, 0.8627715706825256, 0.02176089398562908)","(-0.33252349495887756, 0.8202047944068909, 0.026443179696798325)"
"(0.027624526992440224, -0.6430128812789917, -0.27487385272979736)","(0.03512706235051155, -0.6783275008201599, -0.2527836561203003)","(0.03541577607393265, -0.6789584159851074, -0.2521365284919739)","(0.035517800599336624, -0.6792177557945251, -0.25188830494880676)","(0.003190005896613002, -0.674875020980835, -0.2524850070476532)","(0.0034757545217871666, -0.6757602095603943, -0.2528949975967407)","(0.003491122741252184, -0.6769683957099915, -0.2521381974220276)","(0.08039035648107529, -0.6507039070129395, -0.1401645392179489)","(-0.06338993459939957, -0.6462271213531494, -0.15058106184005737)","(0.04881545156240463, -0.6117130517959595, -0.23690670728683472)","(0.005990695673972368, -0.6083064675331116, -0.23831486701965332)","(0.16465409100055695, -0.46413877606391907, -0.08511921763420105)","(-0.15777471661567688, -0.4573248028755188, -0.0827174186706543)","(0.1976514607667923, -0.2699296176433563, -0.12561288475990295)","(-0.2414924055337906, -0.19817234575748444, -0.05217738822102547)","(0.31724295020103455, -0.18819008767604828, -0.3711739778518677)","(-0.30203500390052795, 0.030012188479304314, -0.13129232823848724)","(0.3419240117073059, -0.14323507249355316, -0.41944271326065063)","(-0.31068021059036255, 0.11194977909326553, -0.14948590099811554)","(0.3335338830947876, -0.15632373094558716, -0.4602292776107788)","(-0.30663037300109863, 0.09707805514335632, -0.1864199936389923)","(0.3177237808704376, -0.1857176274061203, -0.391745001077652)","(-0.2911742329597473, 0.041468288749456406, -0.14862875640392303)","(0.11429736018180847, 0.004728951957076788, 0.01856953464448452)","(-0.11451240628957748, -0.0053427559323608875, -0.017445972189307213)","(0.15686453878879547, 0.4083873927593231, 0.013012155890464783)","(-0.17950579524040222, 0.3751789629459381, 0.000363674305845052)","(0.20881177484989166, 0.755469799041748, 0.1473739594221115)","(-0.28453102707862854, 0.7051584124565125, 0.15842998027801514)","(0.21949006617069244, 0.8009395599365234, 0.15121078491210938)","(-0.29783645272254944, 0.7488327622413635, 0.1652640402317047)","(0.2798733413219452, 0.8609293103218079, 0.034061141312122345)","(-0.3521307110786438, 0.8101478815078735, 0.04077383130788803)"
"(0.0274219810962677, -0.6517587900161743, -0.27369800209999084)","(0.033428389579057693, -0.6878350377082825, -0.2509724199771881)","(0.03369423747062683, -0.688397228717804, -0.2503076195716858)","(0.03380337730050087, -0.6887148022651672, -0.2501542568206787)","(0.0012965536443516612, -0.6830205917358398, -0.25116023421287537)","(0.0015985548961907625, -0.6838838458061218, -0.2515919804573059)","(0.0015646528918296099, -0.6850138902664185, -0.25083860754966736)","(0.07998345792293549, -0.6623443961143494, -0.13444626331329346)","(-0.06543789803981781, -0.650471568107605, -0.14786268770694733)","(0.049033042043447495, -0.6214670538902283, -0.2346293181180954)","(0.006185588892549276, -0.6161141395568848, -0.23697149753570557)","(0.16558417677879333, -0.46761640906333923, -0.080513134598732)","(-0.15773406624794006, -0.4580373764038086, -0.07889663428068161)","(0.18897002935409546, -0.2745150923728943, -0.16388428211212158)","(-0.24205027520656586, -0.19820068776607513, -0.029879823327064514)","(0.23466423153877258, -0.2663825452327728, -0.43792423605918884)","(-0.30457767844200134, 0.02826227992773056, -0.08986347913742065)","(0.2401162087917328, -0.24464909732341766, -0.48776423931121826)","(-0.3118824064731598, 0.11006013303995132, -0.09816423803567886)","(0.2363072633743286, -0.2673581540584564, -0.5137797594070435)","(-0.31354179978370667, 0.09633516520261765, -0.13716594874858856)","(0.2324049025774002, -0.2731015086174011, -0.45343664288520813)","(-0.296044260263443, 0.03972149267792702, -0.10656114667654037)","(0.11453207582235336, 0.005407014861702919, 0.017694907262921333)","(-0.11475870758295059, -0.006057191174477339, -0.016633423045277596)","(0.15249405801296234, 0.4078406095504761, 0.0194841381162405)","(-0.18802617490291595, 0.36705705523490906, 0.0049206227995455265)","(0.20464108884334564, 0.7481831908226013, 0.1785522699356079)","(-0.3035863935947418, 0.6856532096862793, 0.17093206942081451)","(0.21536040306091309, 0.7926765084266663, 0.1841777265071869)","(-0.31752482056617737, 0.7279481887817383, 0.1790899932384491)","(0.26924583315849304, 0.8578731417655945, 0.06837834417819977)","(-0.37322989106178284, 0.7899537682533264, 0.05395633727312088)"
"(0.027932198718190193, -0.6523470878601074, -0.27681446075439453)","(0.03398633375763893, -0.6883429288864136, -0.2547166645526886)","(0.03424619510769844, -0.6888360381126404, -0.25403672456741333)","(0.0343426838517189, -0.6891799569129944, -0.25391584634780884)","(0.002123642945662141, -0.6838263869285583, -0.25548258423805237)","(0.0024611931294202805, -0.6847317218780518, -0.25589942932128906)","(0.002364038024097681, -0.6858078241348267, -0.255176305770874)","(0.08051872998476028, -0.6624830365180969, -0.13832919299602509)","(-0.06496207416057587, -0.6511309146881104, -0.15421923995018005)","(0.049392662942409515, -0.6220617294311523, -0.23765812814235687)","(0.006708947941660881, -0.6171202659606934, -0.24087640643119812)","(0.1676163673400879, -0.47115224599838257, -0.07999338954687119)","(-0.15344198048114777, -0.4562923312187195, -0.09154094010591507)","(0.1897108554840088, -0.3242427408695221, -0.16794928908348083)","(-0.23980890214443207, -0.19805322587490082, -0.04279191046953201)","(0.12577056884765625, -0.34391912817955017, -0.37505072355270386)","(-0.3036596179008484, 0.02779126539826393, -0.08611209690570831)","(0.1020946055650711, -0.3312099277973175, -0.413871169090271)","(-0.31130820512771606, 0.10365362465381622, -0.09110201150178909)","(0.09060195088386536, -0.35421720147132874, -0.4264943301677704)","(-0.31584039330482483, 0.09401026368141174, -0.12736181914806366)","(0.11373617500066757, -0.3519752323627472, -0.38377320766448975)","(-0.29744791984558105, 0.03949781879782677, -0.10106528550386429)","(0.11446554958820343, 0.005787045694887638, 0.017998812720179558)","(-0.11471192538738251, -0.0064313397742807865, -0.016913115978240967)","(0.1517993062734604, 0.40761828422546387, 0.016735311597585678)","(-0.19998499751091003, 0.3623039126396179, 0.013336590491235256)","(0.19440922141075134, 0.7250648140907288, 0.20951499044895172)","(-0.312801718711853, 0.6492695212364197, 0.20161105692386627)","(0.2044088989496231, 0.7680610418319702, 0.21997815370559692)","(-0.32612112164497375, 0.6899977922439575, 0.21354885399341583)","(0.26346486806869507, 0.8372573852539062, 0.111045703291893)","(-0.37298914790153503, 0.7673599720001221, 0.09168980270624161)"
"(0.027060706168413162, -0.6468501091003418, -0.30169370770454407)","(0.03303425759077072, -0.6829676628112793, -0.28027236461639404)","(0.033241648226976395, -0.6833507418632507, -0.2795170247554779)","(0.03334197774529457, -0.6837238073348999, -0.2794564366340637)","(0.001163463108241558, -0.6785138249397278, -0.27927684783935547)","(0.0015197547618299723, -0.679506242275238, -0.27965614199638367)","(0.001380802015773952, -0.680459201335907, -0.2792200744152069)","(0.08036438375711441, -0.6554269194602966, -0.16272611916065216)","(-0.0651947632431984, -0.6449741125106812, -0.169363334774971)","(0.04904956370592117, -0.6160379648208618, -0.2621811628341675)","(0.0064225103706121445, -0.6111090183258057, -0.2637447416782379)","(0.16776113212108612, -0.46953028440475464, -0.08875596523284912)","(-0.15170621871948242, -0.4439454674720764, -0.11627597361803055)","(0.1890334039926529, -0.3268580436706543, -0.1921805739402771)","(-0.23902522027492523, -0.1861339807510376, -0.06607680767774582)","(0.11896960437297821, -0.3644850552082062, -0.4096536338329315)","(-0.3037848174571991, 0.03718852251768112, -0.0951656699180603)","(0.10041434317827225, -0.3604210913181305, -0.45110005140304565)","(-0.3120569586753845, 0.10604232549667358, -0.10971737653017044)","(0.09065061062574387, -0.38337594270706177, -0.45656517148017883)","(-0.3181259334087372, 0.09653536230325699, -0.14545507729053497)","(0.10786144435405731, -0.3739720284938812, -0.41687819361686707)","(-0.298968106508255, 0.04788941517472267, -0.1113949790596962)","(0.11370738595724106, 0.006073943339288235, 0.021757623180747032)","(-0.11404804140329361, -0.0067214067094028, -0.020759141072630882)","(0.15378022193908691, 0.3941442370414734, 0.015637697651982307)","(-0.20543667674064636, 0.36013680696487427, 0.013051281683146954)","(0.19426792860031128, 0.7053205966949463, 0.21071267127990723)","(-0.35154905915260315, 0.6427079439163208, 0.19336839020252228)","(0.2041856050491333, 0.7483670711517334, 0.22077548503875732)","(-0.3672518730163574, 0.6830530166625977, 0.20400196313858032)","(0.27062782645225525, 0.81353360414505, 0.12023825198411942)","(-0.3902055323123932, 0.7625823020935059, 0.0826469361782074)"
"(0.027595549821853638, -0.6376523375511169, -0.325896292924881)","(0.0341310054063797, -0.6735519766807556, -0.30510804057121277)","(0.034302037209272385, -0.6739112734794617, -0.30431491136550903)","(0.03440474346280098, -0.6742985248565674, -0.3042619526386261)","(0.0020988788455724716, -0.6700272560119629, -0.30433809757232666)","(0.0024423326831310987, -0.6710968017578125, -0.30472466349601746)","(0.00228042621165514, -0.6720291972160339, -0.30418822169303894)","(0.08344253897666931, -0.6444740891456604, -0.18710818886756897)","(-0.062438301742076874, -0.6382282376289368, -0.1963091939687729)","(0.050568439066410065, -0.6063596606254578, -0.2861096262931824)","(0.00793852936476469, -0.6027237176895142, -0.2886549234390259)","(0.17049413919448853, -0.4619729816913605, -0.11020831018686295)","(-0.14775808155536652, -0.4357360601425171, -0.13844777643680573)","(0.1887010782957077, -0.33318573236465454, -0.2196069359779358)","(-0.2325173169374466, -0.1798354983329773, -0.08651348203420639)","(0.10962185263633728, -0.3962066173553467, -0.42191222310066223)","(-0.30371615290641785, 0.05084434524178505, -0.10447635501623154)","(0.08734224736690521, -0.39964166283607483, -0.45739108324050903)","(-0.31383952498435974, 0.1173427626490593, -0.1178041398525238)","(0.0804889127612114, -0.42333245277404785, -0.4602667987346649)","(-0.322331964969635, 0.11374644190073013, -0.1526641696691513)","(0.09874710440635681, -0.4078478217124939, -0.4271467626094818)","(-0.3004586100578308, 0.0634181797504425, -0.11882461607456207)","(0.11351501941680908, 0.006640708073973656, 0.021732373163104057)","(-0.11389438807964325, -0.00730013707652688, -0.02072858437895775)","(0.165622740983963, 0.3887120485305786, 0.0009905019542202353)","(-0.20955033600330353, 0.35642197728157043, 0.01061602495610714)","(0.19483265280723572, 0.7045913934707642, 0.19517751038074493)","(-0.36815398931503296, 0.6425873041152954, 0.18533366918563843)","(0.2057984471321106, 0.748279333114624, 0.2060180902481079)","(-0.38567179441452026, 0.6836631298065186, 0.19592367112636566)","(0.2723132073879242, 0.8116551637649536, 0.11817175149917603)","(-0.4286680221557617, 0.7566531896591187, 0.08071737736463547)"
"(0.028842147439718246, -0.6376639008522034, -0.32455796003341675)","(0.03588702157139778, -0.6735605597496033, -0.3044443428516388)","(0.0360439196228981, -0.6739184856414795, -0.30361008644104004)","(0.036095913499593735, -0.6743179559707642, -0.30354949831962585)","(0.003664162941277027, -0.6699469685554504, -0.30376243591308594)","(0.004110437817871571, -0.671022891998291, -0.3040509819984436)","(0.0038422574289143085, -0.6719924807548523, -0.3034696877002716)","(0.08796819299459457, -0.6449674367904663, -0.19043363630771637)","(-0.057386402040719986, -0.6386426687240601, -0.19755257666110992)","(0.05362293869256973, -0.6065094470977783, -0.285953551530838)","(0.01130265835672617, -0.6029244065284729, -0.2881242036819458)","(0.17711812257766724, -0.4636761248111725, -0.11178334802389145)","(-0.13856083154678345, -0.4361630082130432, -0.14296795427799225)","(0.19098930060863495, -0.35004109144210815, -0.14182911813259125)","(-0.22317282855510712, -0.17912666499614716, -0.09303342550992966)","(0.11751550436019897, -0.35326340794563293, -0.1725500077009201)","(-0.30127888917922974, 0.050437409430742264, -0.10848391801118851)","(0.09760382771492004, -0.33512645959854126, -0.18263548612594604)","(-0.3130775988101959, 0.11733836680650711, -0.1250200867652893)","(0.09039783477783203, -0.3534456789493561, -0.18757373094558716)","(-0.31894707679748535, 0.11453018337488174, -0.16025042533874512)","(0.10864997655153275, -0.3581087291240692, -0.17425809800624847)","(-0.2998617887496948, 0.06371556222438812, -0.12395859509706497)","(0.11351456493139267, 0.007516341749578714, 0.02100616693496704)","(-0.11389658600091934, -0.008209227584302425, -0.019953472539782524)","(0.1761036068201065, 0.3813658654689789, -0.009403618052601814)","(-0.2183748185634613, 0.3526279032230377, 0.009802453219890594)","(0.195715069770813, 0.694434642791748, 0.18807226419448853)","(-0.37789487838745117, 0.6346741914749146, 0.18427839875221252)","(0.20820759236812592, 0.7376083135604858, 0.200622096657753)","(-0.39583760499954224, 0.6754699349403381, 0.19383491575717926)","(0.2752959132194519, 0.8047699332237244, 0.10760702192783356)","(-0.4467657208442688, 0.7476765513420105, 0.07554679363965988)"
